split,name,line,sx,sy,ex,ey,group,row_order_ok,bands,dtype,labeled_frac,nodata_frac,classes
train,f080611t01p00r12rdn_beta_sc01_ort_img_Sx_309_Sy_512_Ex_821_Ey_1024.tif,f080611t01p00r12rdn_beta_sc01_ort_img,309,512,821,1024,0,1,224,uint16,0.5455,0.03116,12
train,f080611t01p00r13rdn_beta_sc01_ort_img_Sx_0_Sy_1024_Ex_512_Ey_1536.tif,f080611t01p00r13rdn_beta_sc01_ort_img,0,1024,512,1536,1,1,224,uint16,0.45136,0.03412,12
train,f080611t01p00r14rdn_beta_sc01_ort_img_Sx_0_Sy_1024_Ex_512_Ey_1536.tif,f080611t01p00r14rdn_beta_sc01_ort_img,0,1024,512,1536,2,1,224,uint16,0.55413,0.01962,7 12
train,f080611t01p00r14rdn_beta_sc01_ort_img_Sx_0_Sy_3072_Ex_512_Ey_3584.tif,f080611t01p00r14rdn_beta_sc01_ort_img,0,3072,512,3584,3,1,224,uint16,0.38483,0.02661,7 12
train,f080611t01p00r14rdn_beta_sc01_ort_img_Sx_267_Sy_1024_Ex_779_Ey_1536.tif,f080611t01p00r14rdn_beta_sc01_ort_img,267,1024,779,1536,2,1,224,uint16,0.73318,0.03909,7 12
train,f080611t01p00r14rdn_beta_sc01_ort_img_Sx_267_Sy_1536_Ex_779_Ey_2048.tif,f080611t01p00r14rdn_beta_sc01_ort_img,267,1536,779,2048,4,1,224,uint16,0.38506,0.03375,7 12
train,f080611t01p00r14rdn_beta_sc01_ort_img_Sx_267_Sy_3072_Ex_779_Ey_3584.tif,f080611t01p00r14rdn_beta_sc01_ort_img,267,3072,779,3584,3,1,224,uint16,0.60728,0.0304,7 12
train,f080912t01p00r07rdn_c_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f080912t01p00r07rdn_c_sc01_ort_img,0,1536,512,2048,5,1,224,uint16,0.04847,0.28482,3
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f080918t01p00r05rdn_c_sc01_ort_img,0,1536,512,2048,6,1,224,uint16,0.11326,0.49768,22 25
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f080918t01p00r05rdn_c_sc01_ort_img,0,2048,512,2560,7,1,224,uint16,0.24388,0.64948,22 25
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_4362_Ex_512_Ey_4874.tif,f080918t01p00r05rdn_c_sc01_ort_img,0,4362,512,4874,8,1,224,uint16,0.4762,0.09976,7 22 25
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_0_Ex_1024_Ey_512.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,0,1024,512,9,1,224,uint16,0.24665,0.33789,19 22
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_1024_Ex_1024_Ey_1536.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,1024,1024,1536,10,1,224,uint16,0.2351,0.11481,29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_1536_Ex_1024_Ey_2048.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,1536,1024,2048,11,1,224,uint16,0.27794,0.03455,14 19
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_2048_Ex_1024_Ey_2560.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,2048,1024,2560,12,1,224,uint16,0.67307,0.0,14 25
